0.57912,0.41135,3.09E+10,1962,5
0.98382,0.36598,1.55E+10,5415,4
1.7854,0.0044198,7.19E+10,20550,5
0.10206,0.40033,9.39E+10,19018,6
0.67868,1.1688,9.97E+09,36945,2
0.078413,0.59586,4.70E+10,3739,3
0.086725,0.55958,4.65E+10,7573,6
0.33334,0.94923,1.12E+10,16743,5
0.12373,0.78142,4.69E+10,49947,4
0.65634,0.9242,1.04E+10,31797,2
0.1372,0.15481,7.21E+09,20941,3
0.22472,0.86762,3.83E+10,4509,5
0.40044,0.35159,1.07E+10,13687,3
0.31851,0.97489,4.69E+10,41917,4
0.64505,1.2823,1.15E+10,14817,3
0.22434,0.61909,1.07E+10,20316,5
0.43477,0.57528,2.53E+10,18635,2
0.45989,0.088653,1.96E+10,7010,2
0.22651,0.96344,3.21E+10,38430,6
0.4901,0.026298,3.83E+11,39530,3
,,#N/A,,
,,7.21E+09,,
