1.0049,0.0093489,1.51E+09,1962,5
0.24875,0.43855,1.23E+09,5415,4
0.93717,0.019972,1.89E+11,20550,5
0.13362,0.62305,1.05E+09,19018,6
0.4678,1.1349,5.00E+09,36945,2
0.082794,0.58802,5.69E+09,3739,3
0.083148,0.61157,5.55E+09,7573,6
0.32797,0.85491,5.69E+09,16743,5
0.12173,0.86868,5.69E+09,49947,4
0.57991,0.97702,1.09E+09,31797,2
0.12201,0.16458,2.47E+09,20941,3
0.22731,0.87482,3.07E+09,4509,5
0.38034,0.36921,5.70E+09,13687,3
0.43972,0.81179,5.71E+09,41917,4
0.43134,1.2259,1.23E+09,14817,3
0.080507,0.7546,5.62E+09,20316,5
0.46469,0.6068,1.15E+09,18635,2
0.27479,0.11244,9.94E+08,7010,2
0.15789,0.91058,4.58E+09,38430,6
0.45566,0.026101,5.71E+09,39530,3
,,9.94E+08,,
